learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5400.0,1.151269,1.234262922364804E-8,5400.0,95.3,81.00119652038933,80.73770491803278,69.28104575163397,5400.0,42136.0,10.0,19.0,15322.699999999999,12154.806000097244,1968.0000000000002,1627.7242463704415,14.799999999999999,13.214470183182609,7.8999999999999995,6.6072350915913045,7.8999999999999995,6.6072350915913045,4.1,3.0349812373573437,0.0,0.0,0.0,0.0,1.0,0.0
5500.0,1.168061,1.2526402131964757E-8,5500.0,94.69999999999999,77.67969947610463,77.82426778242676,64.42953020134226,5500.0,42304.0,10.0,20.0,15805.300000000001,12328.318845920017,2066.3999999999996,1703.62249339459,15.6,13.82590161817867,8.299999999999999,6.912950809089335,8.299999999999999,6.912950809089335,4.199999999999999,2.936362072739365,0.0,0.0,0.0,0.0,1.0,0.0
5600.0,1.188938,1.2750344835221762E-8,5600.0,93.30000000000001,72.33736849928162,74.42748091603055,57.86163522012583,5600.0,41464.0,10.0,22.0,15858.699999999999,12962.332257995346,2141.6,1715.6225433093116,16.2,13.92679272322079,8.6,6.963396361610395,8.6,6.963396361610395,4.299999999999999,3.056868404829433,0.0,0.0,0.0,0.0,1.0,0.0
5700.0,1.208554,1.2953900127775133E-8,5700.0,93.7,74.12050805961323,74.80000000000003,59.872611464968195,5700.0,40112.0,10.0,24.0,13572.4,13757.18587341014,1968.8,1821.62594038037,14.799999999999999,14.770842148563425,7.8999999999999995,7.385421074281712,7.8999999999999995,7.385421074281712,4.0,3.4318767136623336,0.0,0.0,0.0,0.0,1.0,0.0
5800.0,1.225321,1.3129314082778156E-8,5800.0,93.2,74.87140069768819,75.88652482269505,61.363636363636395,5800.0,40440.0,10.0,25.0,10734.3,12252.751773014546,1427.1999999999998,1334.7310007804736,10.4,10.793001847905376,5.7,5.396500923952688,5.7,5.396500923952688,3.1999999999999997,3.32665998663324,0.0,0.0,0.0,0.0,1.0,0.0
5900.0,1.24314,1.3320380577610593E-8,5900.0,92.5,72.78309213104761,74.48979591836736,59.016393442622984,5900.0,41448.0,10.0,25.0,11318.9,12255.242292813127,1476.0,1331.2423604371302,10.8,10.768266135063508,5.9,5.384133067531754,5.9,5.384133067531754,3.3,3.2676869155073254,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,1.260772,1.3507142989999713E-8,6000.0,91.2,70.56875873739976,73.65269461077844,57.48792270531402,6000.0,40944.0,10.0,26.0,11690.3,12494.810985631862,1501.6,1359.984575075925,11.0,10.994948334980428,6.0,5.497474167490214,6.0,5.497474167490214,3.3,3.2676869155073254,0.0,0.0,0.0,0.0,1.0,0.0
6100.0,1.279613,1.3710805734412532E-8,6100.0,91.5,75.67258156840299,78.53535353535355,65.86345381526107,6100.0,41784.0,10.0,26.0,12295.2,12487.51271203891,1599.2,1436.6402781799238,11.8,11.631375193367674,6.4,5.815687596683837,6.4,5.815687596683837,3.5,3.34165627596057,0.0,0.0,0.0,0.0,1.0,0.0
6200.0,1.299286,1.3922688433279589E-8,6200.0,91.7,76.98867732026217,78.93401015228427,67.19367588932808,6200.0,41632.0,10.0,27.0,12596.9,12779.894387061438,1698.4,1462.7343648872895,12.600000000000001,11.843422928641308,6.800000000000001,5.921711464320654,6.800000000000001,5.921711464320654,3.6999999999999997,3.1287200080686173,0.0,0.0,0.0,0.0,1.0,0.0
6300.0,1.320092,1.4149486594316028E-8,6300.0,91.9,78.6290960899161,79.64824120603015,70.00000000000001,6300.0,42136.0,10.0,27.0,13188.7,12767.419116642173,1846.3999999999996,1533.0518002410167,13.799999999999999,12.407882799073965,7.3999999999999995,6.2039413995369825,7.3999999999999995,6.2039413995369825,3.9,2.960855732160327,0.0,0.0,0.0,0.0,1.0,0.0
6400.0,1.338671,1.4346549018389644E-8,6400.0,90.8,75.12814412699787,76.76767676767678,65.41353383458647,6400.0,41000.0,10.0,28.0,12729.3,13476.698639998347,1786.4,1593.9666244937503,13.299999999999999,12.893150636416737,7.1,6.505553183413554,7.1,6.505553183413554,3.6,3.1692971530679235,0.0,0.0,0.0,0.0,1.0,0.0
6500.0,1.357892,1.4551057440953117E-8,6500.0,92.10000000000001,78.31695668880717,79.42708333333334,69.84732824427483,6500.0,41128.0,10.0,29.0,13176.3,13627.276193559575,1872.8,1534.5059863754923,14.0,12.409673645990857,7.5,6.2048368229954285,7.5,6.2048368229954285,3.8,3.011090610836324,0.0,0.0,0.0,0.0,1.0,0.0
6600.0,1.3725,1.4707754045310943E-8,6600.0,93.5,81.18232875919172,80.88235294117648,72.68907563025212,6600.0,41464.0,10.0,29.0,13769.5,13606.333878422618,1971.2,1697.8740170512588,14.799999999999999,13.742068419435425,7.8999999999999995,6.871034209717712,7.8999999999999995,6.871034209717712,3.8,3.011090610836324,0.0,0.0,0.0,0.0,1.0,0.0
6700.0,1.384877,1.4841595085130793E-8,6700.0,94.5,82.8613451662761,82.08469055374592,74.17840375586852,6700.0,41800.0,10.0,29.0,14378.099999999999,13596.351082796687,1995.9999999999998,1708.171211819497,14.999999999999998,13.824294235551815,7.999999999999999,6.912147117775907,7.999999999999999,6.912147117775907,3.9,3.142893217686178,0.0,0.0,0.0,0.0,1.0,0.0
6800.0,1.397456,1.4978713900264762E-8,6800.0,95.0,83.08170184544794,81.75182481751824,74.09326424870464,6800.0,42136.0,10.0,29.0,14973.0,13596.763070672372,2045.6,1671.0919384242948,15.400000000000002,13.525284963110142,8.200000000000001,6.762642481555071,8.200000000000001,6.762642481555071,4.0,3.0550504633038935,0.0,0.0,0.0,0.0,1.0,0.0
6900.0,1.408386,1.5097382567409007E-8,6900.0,95.7,85.28244023986198,83.65019011406842,77.00534759358287,6900.0,41968.0,10.0,29.0,15588.199999999999,13598.721727508884,2070.4,1659.874372756364,15.600000000000001,13.43461532344298,8.3,6.71730766172149,8.3,6.71730766172149,4.0,3.0550504633038935,0.0,0.0,0.0,0.0,1.0,0.0
